"","Pathway","N","DE","P.DE","FDR.DE"
"path:hsa00232","Caffeine metabolism",3,0,1,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",3,0,1,1
"path:hsa00470","D-Amino acid metabolism",3,0,1,1
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",3,0,1,1
"path:hsa00780","Biotin metabolism",3,0,1,1
"path:hsa00785","Lipoic acid metabolism",3,0,1,1
"path:hsa03265","Virion - Lyssavirus",3,0,1,1
"path:hsa03267","Virion - Adenovirus",3,0,1,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,0,1,1
"path:hsa03264","Virion - Flavivirus",4,0,1,1
"path:hsa00440","Phosphonate and phosphinate metabolism",5,0,1,1
"path:hsa03260","Virion - Human immunodeficiency virus",5,0,1,1
"path:hsa00750","Vitamin B6 metabolism",6,0,1,1
"path:hsa00740","Riboflavin metabolism",7,0,1,1
"path:hsa04122","Sulfur relay system",8,0,1,1
"path:hsa00360","Phenylalanine metabolism",9,0,1,1
"path:hsa03266","Virion - Herpesvirus",9,0,1,1
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",10,0,1,1
"path:hsa00730","Thiamine metabolism",10,0,1,1
"path:hsa00920","Sulfur metabolism",10,0,1,1
"path:hsa04950","Maturity onset diabetes of the young",10,0,1,1
"path:hsa00053","Ascorbate and aldarate metabolism",11,0,1,1
"path:hsa00430","Taurine and hypotaurine metabolism",11,0,1,1
"path:hsa00120","Primary bile acid biosynthesis",12,0,1,1
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",12,0,1,1
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",12,0,1,1
"path:hsa03450","Non-homologous end-joining",12,0,1,1
"path:hsa00910","Nitrogen metabolism",13,0,1,1
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",14,0,1,1
"path:hsa04614","Renin-angiotensin system",14,0,1,1
"path:hsa00040","Pentose and glucuronate interconversions",15,0,1,1
"path:hsa00592","alpha-Linolenic acid metabolism",15,0,1,1
"path:hsa00340","Histidine metabolism",16,0,1,1
"path:hsa00531","Glycosaminoglycan degradation",16,0,1,1
"path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",16,0,1,1
"path:hsa04744","Phototransduction",16,0,1,1
"path:hsa04964","Proximal tubule bicarbonate reclamation",16,0,1,1
"path:hsa04977","Vitamin digestion and absorption",16,0,1,1
"path:hsa05310","Asthma",16,0,1,1
"path:hsa00220","Arginine biosynthesis",17,0,1,1
"path:hsa00350","Tyrosine metabolism",17,0,1,1
"path:hsa00450","Selenocompound metabolism",17,0,1,1
"path:hsa00511","Other glycan degradation",17,1,0.150067877327302,1
"path:hsa00591","Linoleic acid metabolism",17,0,1,1
"path:hsa01210","2-Oxocarboxylic acid metabolism",17,0,1,1
"path:hsa05033","Nicotine addiction",17,0,1,1
"path:hsa00061","Fatty acid biosynthesis",18,0,1,1
"path:hsa00770","Pantothenate and CoA biosynthesis",18,0,1,1
"path:hsa05143","African trypanosomiasis",18,0,1,1
"path:hsa00100","Steroid biosynthesis",19,1,0.166181476473028,1
"path:hsa00790","Folate biosynthesis",19,0,1,1
"path:hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,0,1,1
"path:hsa00650","Butanoate metabolism",20,0,1,1
