"","Pathway","N","DE","P.DE","FDR.DE"
"path:hsa00780","Biotin metabolism",3,0,1,1
"path:hsa00785","Lipoic acid metabolism",3,0,1,1
"path:hsa00290","Valine, leucine and isoleucine biosynthesis",4,1,0.129241469415295,0.287930362241671
"path:hsa03264","Virion - Flavivirus",4,0,1,1
"path:hsa03265","Virion - Lyssavirus",4,0,1,1
"path:hsa03267","Virion - Adenovirus",4,0,1,1
"path:hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,0,1,1
"path:hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",5,0,1,1
"path:hsa00750","Vitamin B6 metabolism",5,1,0.158855857180656,0.343069970261356
"path:hsa03260","Virion - Human immunodeficiency virus",5,0,1,1
"path:hsa00232","Caffeine metabolism",6,0,1,1
"path:hsa00440","Phosphonate and phosphinate metabolism",6,0,1,1
"path:hsa00470","D-Amino acid metabolism",6,0,1,1
"path:hsa04122","Sulfur relay system",7,0,1,1
"path:hsa00740","Riboflavin metabolism",8,0,1,1
"path:hsa03266","Virion - Herpesvirus",8,0,1,1
"path:hsa00920","Sulfur metabolism",10,1,0.292504998987409,0.550026702469925
"path:hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,1,0.316573416031459,0.574396180056341
"path:hsa03450","Non-homologous end-joining",12,0,1,1
"path:hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,0,1,1
"path:hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",14,1,0.383982359817103,0.652955510413625
"path:hsa00604","Glycosphingolipid biosynthesis - ganglio series",14,0,1,1
"path:hsa00730","Thiamine metabolism",14,1,0.383982359817103,0.652955510413625
"path:hsa00360","Phenylalanine metabolism",15,1,0.404942623436241,0.675268920039997
"path:hsa00450","Selenocompound metabolism",15,1,0.404942623436241,0.675268920039997
"path:hsa00430","Taurine and hypotaurine metabolism",16,1,0.425190631127229,0.696126056543184
"path:hsa00511","Other glycan degradation",16,0,1,1
"path:hsa00910","Nitrogen metabolism",16,0,1,1
"path:hsa00061","Fatty acid biosynthesis",17,2,0.112231852904513,0.258206615832604
"path:hsa00120","Primary bile acid biosynthesis",17,0,1,1
"path:hsa00053","Ascorbate and aldarate metabolism",18,1,0.463645746974628,0.735150013221032
"path:hsa00531","Glycosaminoglycan degradation",18,0,1,1
"path:hsa00670","One carbon pool by folate",18,0,1,1
"path:hsa01210","2-Oxocarboxylic acid metabolism",18,2,0.123532287221999,0.278739519885535
"path:hsa00100","Steroid biosynthesis",19,3,0.0252802263370049,0.0946663794747419
"path:hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,1,0.499531416761198,0.774603782819127
"path:hsa00040","Pentose and glucuronate interconversions",21,0,1,1
"path:hsa00220","Arginine biosynthesis",21,0,1,1
"path:hsa00592","alpha-Linolenic acid metabolism",21,2,0.158864787365344,0.343069970261356
"path:hsa00770","Pantothenate and CoA biosynthesis",21,1,0.516564748230991,0.78375341110909
"path:hsa00340","Histidine metabolism",22,0,1,1
"path:hsa00515","Mannose type O-glycan biosynthesis",22,0,1,1
"path:hsa00900","Terpenoid backbone biosynthesis",22,0,1,1
"path:hsa03430","Mismatch repair",22,0,1,1
"path:hsa04614","Renin-angiotensin system",22,2,0.171023215057515,0.362651636748466
"path:hsa04964","Proximal tubule bicarbonate reclamation",22,1,0.533019106953537,0.798394577224022
"path:hsa04977","Vitamin digestion and absorption",22,0,1,1
"path:hsa00062","Fatty acid elongation",23,1,0.548914146958413,0.815264893372833
"path:hsa01040","Biosynthesis of unsaturated fatty acids",23,1,0.548914146958413,0.815264893372833
"path:hsa03060","Protein export",23,0,1,1
"path:hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",24,3,0.046624483190858,0.135634860191587
"path:hsa04950","Maturity onset diabetes of the young",24,0,1,1
